Project,Sampling Unit Name,Protocol,Date,Start Time,End Time,Count,Spp,Common Name,Scientific Name,Detection Cue,Breeding Evidence,Visit Note,Observation Note,Researcher,Other Observers Count,Other Observers Names,Data Status
CHSS,ANDALIEN10,WATERBIRD_COUNT,2017-01-25,13:33:00,13:38:00,1,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN9,WATERBIRD_COUNT,2017-01-25,13:28:00,13:34:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN9,WATERBIRD_COUNT,2017-01-25,13:28:00,13:34:00,1,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,248,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,14,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,14,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,189,FRGU,Franklin's Gull,Leucophaeus pipixcan,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,15,ELTE,Elegant Tern,Thalasseus elegans,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,1,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,27,BLSK,Black Skimmer,Rynchops niger,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,24,GRYE,Greater Yellowlegs,Tringa melanoleuca,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2017-01-25,10:15:00,12:37:00,1,TUVU,Turkey Vulture,Cathartes aura,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
