"Sampling.Unit.Name","Start.Time","End.Time","Spp","Common.Name","Scientific.Name","Count","Date","Latitude","Longitude","SiteName","Ha","Sitio","Wind","Precipitation","PercentCloudCover","DominantCoverType","TidalConditions","VegetationHeight","DisturbGeneral.Collected","VisibleArea.VisibleArea","PercentCover.PercentFlood","CoverType.SecondaryCoverType","PercentCover.PercentVegetated"
"LLANOS2","15:07:00","15:15:00","AMKE","American Kestrel","Falco sparverius",0,2020-08-31,-31.588887,-71.564678,"Huentelauquén",17.07,3,1,0,10,99,1,0,NA,100,0,NA,0
"LLANOS2","15:51:00","15:56:00","AMKE","American Kestrel","Falco sparverius",0,2021-08-28,-31.588887,-71.564678,"Huentelauquén",17.07,3,1,0,0,99,9,0,1,100,0,NA,0
"LLANOS2","10:37:00","10:50:00","AMKE","American Kestrel","Falco sparverius",1,2022-07-26,-31.588887,-71.564678,"Huentelauquén",17.07,3,0,0,10,99,3,1,1,100,0,NA,70
"LLANOS2","10:32:00","10:50:00","AMKE","American Kestrel","Falco sparverius",0,2023-07-09,-31.588887,-71.564678,"Huentelauquén",17.07,3,2,0,80,99,2,0,0,100,0,NA,0
"MANTA5","09:33:00","09:43:00","AMKE","American Kestrel","Falco sparverius",0,2020-07-23,-32.883614,-71.505558,"Mantagua",4.45,9,0,0,10,1,4,5,NA,60,60,99,40
"MANTA5","10:43:00","10:53:00","AMKE","American Kestrel","Falco sparverius",0,2021-07-15,-32.883614,-71.505558,"Mantagua",4.45,9,0,0,0,1,6,5,1,90,40,NA,20
"MANTA5","09:24:00","09:38:00","AMKE","American Kestrel","Falco sparverius",0,2022-06-28,-32.883614,-71.505558,"Mantagua",4.45,9,1,0,0,1,4,5,0,60,20,NA,80
"MANTA5","15:24:00","15:36:00","AMKE","American Kestrel","Falco sparverius",1,2023-07-12,-32.883614,-71.505558,"Mantagua",4.45,9,0,0,NA,1,3,5,0,40,70,NA,25
"CF","12:10:00","12:25:00","AMOY","American Oystercatcher","Haematopus palliatus",5,2020-07-26,-41.794566,-73.207032,"Humedales de Calbuco - Pureo",1.74,7,4,1,90,17,8,0,1,90,30,NA,0
"CF","11:17:00","11:26:00","AMOY","American Oystercatcher","Haematopus palliatus",8,2020-10-12,-41.794566,-73.207032,"Humedales de Calbuco - Pureo",1.74,7,2,0,70,17,1,0,1,100,70,NA,NA
"CF","08:34:00","08:44:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2020-10-16,-41.794566,-73.207032,"Humedales de Calbuco - Pureo",1.74,7,2,0,100,17,8,0,1,100,50,NA,0
"CHA1","14:17:00","14:28:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-05-25,-41.491357,-72.863779,"Coihuín y Chamiza",7.64,2,0,0,10,14,2,2,0,90,30,0,30
"CHA1","09:08:00","09:25:00","AMOY","American Oystercatcher","Haematopus palliatus",233,2020-06-15,-41.491357,-72.863779,"Coihuín y Chamiza",7.64,2,2,0,80,14,2,2,0,90,20,NA,70
"CHA1","14:01:00","14:19:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-24,-41.491357,-72.863779,"Coihuín y Chamiza",7.64,2,1,0,20,14,2,2,0,100,50,NA,40
