"Sampling.Unit.Name","Start.Time","End.Time","Spp","Common.Name","Scientific.Name","Count","Date","Latitude","Longitude","SiteName","Ha","Sitio","Wind","Precipitation","PercentCloudCover","DominantCoverType","TidalConditions","VegetationHeight","DisturbGeneral.Collected","VisibleArea.VisibleArea","PercentCover.PercentFlood","CoverType.SecondaryCoverType","PercentCover.PercentVegetated"
"LLUTA2","09:32:00","10:11:00","AMGP","American Golden-Plover","Pluvialis dominica",0,2020-01-31,-18.41661,-70.322793,"Río Lluta - Desembocadura",2.24,10,1,0,98,16,6,NA,1,100,15,NA,NA
"LLUTA2","09:05:00","10:13:00","AMGP","American Golden-Plover","Pluvialis dominica",8,2021-02-03,-18.41661,-70.322793,"Río Lluta - Desembocadura",2.24,10,0,0,80,1,6,5,1,90,10,16,15
"LLUTA2","09:20:00","10:10:00","AMGP","American Golden-Plover","Pluvialis dominica",0,2022-02-15,-18.41661,-70.322793,"Río Lluta - Desembocadura",2.24,10,0,0,60,1,3,5,0,90,5,16,20
"LLUTA2","08:23:00","09:02:00","AMGP","American Golden-Plover","Pluvialis dominica",0,2023-02-14,-18.41661,-70.322793,"Río Lluta - Desembocadura",2.24,10,1,0,50,1,7,5,1,100,15,16,35
"LLUTA4","11:13:00","11:33:00","AMGP","American Golden-Plover","Pluvialis dominica",0,2020-01-31,-18.413824,-70.324603,"Río Lluta - Desembocadura",1.61,10,1,0,80,16,6,1,1,100,15,NA,35
"LLUTA4","11:44:00","12:19:00","AMGP","American Golden-Plover","Pluvialis dominica",0,2021-02-03,-18.413824,-70.324603,"Río Lluta - Desembocadura",1.61,10,2,0,40,1,4,5,NA,90,5,16,30
"LLUTA4","11:45:00","12:25:00","AMGP","American Golden-Plover","Pluvialis dominica",0,2022-02-15,-18.413824,-70.324603,"Río Lluta - Desembocadura",1.61,10,2,0,15,1,5,5,0,90,30,16,55
"LLUTA4","09:44:00","10:12:00","AMGP","American Golden-Plover","Pluvialis dominica",2,2023-02-14,-18.413824,-70.324603,"Río Lluta - Desembocadura",1.61,10,1,0,50,1,8,5,1,100,30,16,45
"LLANOS4","16:30:00","16:40:00","AMKE","American Kestrel","Falco sparverius",0,2021-02-15,-31.595118,-71.566229,"Huentelauquén",11.39,3,2,0,0,99,7,NA,0,100,0,NA,0
"LLANOS4","11:15:00","11:25:00","AMKE","American Kestrel","Falco sparverius",0,2022-02-03,-31.595118,-71.566229,"Huentelauquén",11.39,3,1,0,100,99,6,0,0,100,0,NA,0
"LLANOS4","11:43:00","12:08:00","AMKE","American Kestrel","Falco sparverius",2,2023-02-13,-31.595118,-71.566229,"Huentelauquén",11.39,3,4,0,10,99,6,1,1,100,0,NA,95
"MANTA7","08:54:00","09:10:00","AMKE","American Kestrel","Falco sparverius",0,2020-02-09,-32.883818,-71.509994,"Mantagua",6.14,9,1,0,100,16,6,2,0,100,50,NA,10
"MANTA7","09:34:00","09:42:00","AMKE","American Kestrel","Falco sparverius",1,2021-01-26,-32.883818,-71.509994,"Mantagua",6.14,9,1,0,100,1,4,1,0,100,30,16,10
"MANTA7","10:01:00","10:13:00","AMKE","American Kestrel","Falco sparverius",0,2022-02-07,-32.883818,-71.509994,"Mantagua",6.14,9,1,1,100,1,3,3,0,90,40,NA,40
"MANTA7","09:43:00","09:45:00","AMKE","American Kestrel","Falco sparverius",0,2023-01-25,-32.883818,-71.509994,"Mantagua",6.14,9,3,0,0,1,4,1,0,100,25,16,45
"ANDALIEN1","10:15:00","12:37:00","AMOY","American Oystercatcher","Haematopus palliatus",39,2017-01-25,-36.744351,-73.018256,"Humedal Rocuant - Andalién",10.42,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN1","10:17:00","10:40:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2018-02-03,-36.744351,-73.018256,"Humedal Rocuant - Andalién",10.42,4,0,0,10,15,6,1,1,90,10,1,5
"ANDALIEN1","16:35:00","17:05:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2019-02-06,-36.744351,-73.018256,"Humedal Rocuant - Andalién",10.42,4,0,0,10,15,6,0,1,100,NA,NA,NA
"ANDALIEN1","09:15:00","10:10:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-01-22,-36.744351,-73.018256,"Humedal Rocuant - Andalién",10.42,4,1,0,30,16,4,0,1,90,20,1,5
"ANDALIEN1","14:27:00","15:05:00","AMOY","American Oystercatcher","Haematopus palliatus",52,2021-02-09,-36.744351,-73.018256,"Humedal Rocuant - Andalién",10.42,4,2,0,0,14,8,0,1,90,10,1,0
"ANDALIEN10","13:33:00","13:38:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2017-01-25,-36.737592,-73.038126,"Humedal Rocuant - Andalién",1.04,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN10","11:40:00","11:43:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2018-02-03,-36.737592,-73.038126,"Humedal Rocuant - Andalién",1.04,4,0,0,10,16,6,0,1,100,0,NA,NA
"ANDALIEN10","18:09:00","18:13:00","AMOY","American Oystercatcher","Haematopus palliatus",3,2019-02-06,-36.737592,-73.038126,"Humedal Rocuant - Andalién",1.04,4,0,0,10,16,6,0,1,100,NA,NA,NA
"ANDALIEN10","11:42:00","11:48:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-01-22,-36.737592,-73.038126,"Humedal Rocuant - Andalién",1.04,4,1,0,30,16,4,NA,1,100,NA,NA,NA
"ANDALIEN10","16:07:00","16:09:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-02-09,-36.737592,-73.038126,"Humedal Rocuant - Andalién",1.04,4,2,0,0,16,8,0,1,100,0,NA,0
"ANDALIEN11","13:38:00","13:43:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2017-01-25,-36.737224,-73.040624,"Humedal Rocuant - Andalién",0.82,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN11","11:44:00","11:49:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2018-02-03,-36.737224,-73.040624,"Humedal Rocuant - Andalién",0.82,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDALIEN11","18:13:00","18:14:00","AMOY","American Oystercatcher","Haematopus palliatus",1,2019-02-06,-36.737224,-73.040624,"Humedal Rocuant - Andalién",0.82,4,0,0,10,16,6,0,1,100,NA,NA,NA
"ANDALIEN11","11:48:00","11:54:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2020-01-22,-36.737224,-73.040624,"Humedal Rocuant - Andalién",0.82,4,1,0,30,16,4,NA,1,100,NA,NA,NA
"ANDALIEN11","16:10:00","16:12:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2021-02-09,-36.737224,-73.040624,"Humedal Rocuant - Andalién",0.82,4,2,0,0,16,8,0,1,100,0,NA,0
"ANDALIEN12","13:43:00","13:48:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2017-01-25,-36.736937,-73.043173,"Humedal Rocuant - Andalién",0.6,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN12","11:44:00","11:49:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2018-02-03,-36.736937,-73.043173,"Humedal Rocuant - Andalién",0.6,4,0,0,10,16,6,0,1,100,0,NA,NA
"ANDALIEN12","18:15:00","18:17:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2019-02-06,-36.736937,-73.043173,"Humedal Rocuant - Andalién",0.6,4,0,0,10,16,6,0,1,100,NA,NA,NA
"ANDALIEN12","11:54:00","12:02:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2020-01-22,-36.736937,-73.043173,"Humedal Rocuant - Andalién",0.6,4,1,0,30,16,4,NA,1,100,NA,NA,NA
"ANDALIEN12","16:14:00","16:18:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2021-02-09,-36.736937,-73.043173,"Humedal Rocuant - Andalién",0.6,4,2,0,0,16,8,0,1,100,0,NA,0
"ANDALIEN2","12:45:00","12:51:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2017-01-25,-36.741504,-73.015632,"Humedal Rocuant - Andalién",2.26,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN2","10:49:00","11:10:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2018-02-03,-36.741504,-73.015632,"Humedal Rocuant - Andalién",2.26,4,0,0,10,15,6,0,1,90,10,NA,NA
"ANDALIEN2","17:10:00","17:36:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2019-02-06,-36.741504,-73.015632,"Humedal Rocuant - Andalién",2.26,4,0,0,10,15,6,0,1,100,NA,NA,NA
"ANDALIEN2","10:20:00","10:50:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-01-22,-36.741504,-73.015632,"Humedal Rocuant - Andalién",2.26,4,1,0,30,16,4,0,1,90,20,1,5
"ANDALIEN2","15:12:00","15:23:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2021-02-09,-36.741504,-73.015632,"Humedal Rocuant - Andalién",2.26,4,2,0,0,14,8,0,1,90,10,1,0
"ANDALIEN3","12:55:00","13:01:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2017-01-25,-36.739144,-73.018669,"Humedal Rocuant - Andalién",3.43,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN3","11:12:00","11:13:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2018-02-03,-36.739144,-73.018669,"Humedal Rocuant - Andalién",3.43,4,0,0,10,16,6,0,1,100,0,NA,NA
"ANDALIEN3","17:43:00","17:50:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2019-02-06,-36.739144,-73.018669,"Humedal Rocuant - Andalién",3.43,4,0,0,10,16,6,0,1,100,NA,NA,NA
"ANDALIEN3","11:05:00","11:11:00","AMOY","American Oystercatcher","Haematopus palliatus",5,2020-01-22,-36.739144,-73.018669,"Humedal Rocuant - Andalién",3.43,4,1,0,30,16,3,NA,1,100,NA,NA,NA
"ANDALIEN3","15:29:00","15:36:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2021-02-09,-36.739144,-73.018669,"Humedal Rocuant - Andalién",3.43,4,2,0,0,16,8,0,1,100,0,NA,0
"ANDALIEN4","13:02:00","13:09:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2017-01-25,-36.738948,-73.022985,"Humedal Rocuant - Andalién",1.86,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN4","11:15:00","11:18:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2018-02-03,-36.738948,-73.022985,"Humedal Rocuant - Andalién",1.86,4,0,0,10,16,6,0,1,100,0,NA,NA
"ANDALIEN4","17:52:00","17:56:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2019-02-06,-36.738948,-73.022985,"Humedal Rocuant - Andalién",1.86,4,0,0,10,16,6,0,1,100,NA,NA,NA
"ANDALIEN4","11:11:00","11:15:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2020-01-22,-36.738948,-73.022985,"Humedal Rocuant - Andalién",1.86,4,1,0,30,16,4,NA,1,100,NA,NA,NA
"ANDALIEN4","15:39:00","15:41:00","AMOY","American Oystercatcher","Haematopus palliatus",5,2021-02-09,-36.738948,-73.022985,"Humedal Rocuant - Andalién",1.86,4,2,0,0,16,8,0,1,100,0,NA,0
"ANDALIEN5","13:10:00","13:13:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2017-01-25,-36.738802,-73.026126,"Humedal Rocuant - Andalién",1.35,4,1,0,10,16,4,0,1,90,20,1,5
"ANDALIEN5","11:18:00","11:22:00","AMOY","American Oystercatcher","Haematopus palliatus",3,2018-02-03,-36.738802,-73.026126,"Humedal Rocuant - Andalién",1.35,4,0,0,10,16,6,0,1,100,0,NA,NA
"ANDALIEN5","17:57:00","17:59:00","AMOY","American Oystercatcher","Haematopus palliatus",3,2019-02-06,-36.738802,-73.026126,"Humedal Rocuant - Andalién",1.35,4,0,0,10,16,6,0,1,100,NA,NA,NA
"ANDALIEN5","11:16:00","11:20:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2020-01-22,-36.738802,-73.026126,"Humedal Rocuant - Andalién",1.35,4,1,0,30,16,4,NA,1,100,NA,NA,NA
"ANDALIEN5","15:42:00","15:44:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-02-09,-36.738802,-73.026126,"Humedal Rocuant - Andalién",1.35,4,2,0,0,16,8,0,1,100,0,NA,0
